Pasar primero las muestras de Android a R y despues iOS

SO	Precio	Frecuencia
1	249.99	1.2
1	289.99	2.3	
1	300	2.3
1	300	2
1	300	1.44
1	350	1.8
1	150	1.8
1	500	2.3
1	699.9	2.15
1	145	1.2
1	180	1.7
1	134.99	1.4
1	599.99	2.2
1	220	2.1
1	140	1.5
1	689.99	2.15
1	179	1.2
1	269	1
1	449	1.44
1	199	1.4
1	279	2
1	269.99	2.2
1	169	1.4
1	599	2.15
1	318	1.9
1	129	1.4
1	799.99	2.3
1	999	2.3
1	249	1.2
1	799.99	2.15
1	599	2.15
1	318	1.9
1	180	1.7	
1	219	2
1	399	1.6
1	699	2.1
1	259	2.2
1	199.99	2
1	259	2.2
1	289	2.2
1	230	1.4
1	799	2.3
1	899	2.45
1	499	2.3

SO	Precio	Frecuencia
2	1024	2.37
2	1169.99	2.1
2	869.99	2.15
2	625.25	1.4
2	739	2.37
2	779	2.1
2	899.99	2.37
2	779	2.1
2	764	2.37
2	764	2.37



54 muestras de smartphones
SO: 1 = Android, 2 = iOS
Frecuencia de procesador en GHz



Para la parte de prediccion

SO	Precio	Frecuencia
1	249.99	1.2
1	289.99	2.3	
1	300	2.3
1	300	2
1	300	1.44
1	350	1.8
1	150	1.8
1	500	2.3
1	699.9	2.15
1	145	1.2
1	180	1.7
1	134.99	1.4
1	599.99	2.2
1	220	2.1
1	140	1.5
1	689.99	2.15
1	179	1.2
1	269	1
1	449	1.44
1	199	1.4
1	279	2
1	269.99	2.2
1	169	1.4
1	599	2.15
1	318	1.9
1	129	1.4
1	799.99	2.3
1	999	2.3
1	249	1.2
1	799.99	2.15
1	599	2.15
1	318	1.9
1	180	1.7	
1	219	2
1	399	1.6
1	699	2.1
1	259	2.2
1	199.99	2
1	259	2.2
1	289	2.2
1	230	1.4
1	799	2.3
1	899	2.45
1	499	2.3
2	1024	2.37
2	1169.99	2.1
2	869.99	2.15
2	625.25	1.4
2	739	2.37
2	779	2.1
2	899.99	2.37
2	779	2.1
2	764	2.37
2	764	2.37

